game_id,country_id,name,event,time
43,15,Михаэль Грегорич,гол,66
44,1,Антонио Рюдигер,желтая карточка,13
44,1,Давид Раум,желтая карточка,28
44,5,Робен Ле Норман,желтая карточка,29
44,5,Ламин Ямаль,пас,51
44,5,Дани Ольмо,гол,51
44,1,Роберт Андрих,желтая карточка,56
44,1,Тони Кроос,желтая карточка,67
44,1,Максимилиан Миттельштедт,желтая карточка,74
44,5,Ферран Торрес,желтая карточка,74
44,5,Унаи Симон,желтая карточка,82
44,1,Йозуа Киммих,пас,89
44,1,Флориан Вирц,гол,89
44,1,Нико Шлоттербек,желтая карточка,89
44,1,Флориан Вирц,желтая карточка,94
44,5,Дани Карвахаль,желтая карточка,100
44,5,Родри,желтая карточка,110
44,1,Дениз Ундав,желтая карточка,113
44,5,Дани Ольмо,пас,119
44,5,Микель Мерино,гол,119
44,5,Фабиан Руис,желтая карточка,120
44,5,Дани Карвахаль,желтая карточка,120+4
44,5,Дани Карвахаль,красная карточка,120+4
45,23,Жуан Пальинья,желтая карточка,79
45,16,Вильям Салиба,желтая карточка,84
46,4,Фабиан Шер,желтая карточка,32
46,12,Гарри Кейн,желтая карточка,67
46,4,Дан Ндойе,пас,75
46,4,Брель Эмболо,гол,75
46,12,Деклан Райс,пас,80
46,12,Букайо Сака,гол,80
46,4,Сильван Видмер,желтая карточка,85
47,14,Хави Симонс,желтая карточка,30
47,21,Арда Гюлер,пас,35
47,21,Самет Акайдын,гол,35
47,14,Натан Аке,желтая карточка,54
47,14,Вирджил ван Дейк,желтая карточка,64
47,14,Мемфис Депай,пас,70
47,14,Стефан де Врей,гол,70
47,21,Мерт Мюлдюр,автогол,76
47,21,Дженк Тосун,желтая карточка,90+3
47,21,Бертуг Йылдырым,красная карточка,90+6
47,14,Ваут Вегхорст,желтая карточка,90+6
48,16,Килиан Мбаппе,пас,9
48,16,Рандаль Коло Муани,гол,9
48,5,Хесус Навас,желтая карточка,14
48,5,Ламин Ямаль,гол,21
48,5,Дани Ольмо,гол,25
48,16,Орельен Чуамени,желтая карточка,60
48,16,Эдуарду Камавинга,желтая карточка,89
48,5,Ламин Ямаль,желтая карточка,90+1
49,14,Хави Симонс,гол,9
49,14,Дензел Дюмфрис,желтая карточка,17
49,12,Гарри Кейн,пенальти,18
49,12,Джуд Беллингем,желтая карточка,72
49,12,Букайо Сака,желтая карточка,86
49,14,Вирджил ван Дейк,желтая карточка,87
49,12,Коул Палмер,пас,90+1
49,12,Олли Уоткинс,гол,90+1
49,14,Хави Симонс,желтая карточка,90+1
49,12,Киран Триппьер,желтая карточка,90+4
